step,train_loss,val_loss,lr,grad_norm,max_weight,elapsed_sec
51000,2.176126,2.221177,2.00000000e-06,2.372098,1.127652,20.72
52000,2.171739,2.224404,3.00000000e-06,2.752511,1.129874,41.70
53000,2.160374,2.203215,3.00000000e-06,2.442957,1.132524,62.23
54000,2.150044,2.188392,3.00000000e-06,2.246102,1.135160,82.98
55000,2.141706,2.178084,3.00000000e-06,2.510407,1.137798,104.21
56000,2.131240,2.170181,3.00000000e-06,2.659619,1.140414,125.40
57000,2.121196,2.165008,3.00000000e-06,2.280990,1.143027,146.35
58000,2.112792,2.152214,3.00000000e-06,2.890559,1.145640,167.63
59000,2.105426,2.147848,3.00000000e-06,2.979282,1.148248,189.00
60000,2.095879,2.144319,3.00000000e-06,2.185793,1.150857,210.03
61000,2.087177,2.126792,3.00000000e-06,2.726900,1.153432,231.28
62000,2.081074,2.119045,3.00000000e-06,3.174146,1.156008,252.59
63000,2.071552,2.114619,3.00000000e-06,3.044732,1.158612,273.79
64000,2.063783,2.100186,3.00000000e-06,2.753688,1.161186,294.82
65000,2.056765,2.090012,3.00000000e-06,2.779431,1.163740,316.15
66000,2.048665,2.084752,3.00000000e-06,2.606683,1.166289,337.42
67000,2.042297,2.082026,3.00000000e-06,3.477405,1.168828,358.37
68000,2.035103,2.074228,3.00000000e-06,2.719693,1.171355,379.67
69000,2.028181,2.062626,3.00000000e-06,3.054801,1.173840,401.03
70000,2.020898,2.049663,3.00000000e-06,3.420778,1.176347,422.24
71000,2.015030,2.048211,3.00000000e-06,3.037177,1.178822,443.50
72000,2.007578,2.048145,3.00000000e-06,3.198568,1.181298,464.79
73000,2.002686,2.030370,3.00000000e-06,2.800006,1.183780,486.17
74000,1.995830,2.027126,3.00000000e-06,2.739926,1.186200,507.14
75000,1.987931,2.019433,3.00000000e-06,2.863290,1.188650,528.88
76000,1.982482,2.009406,3.00000000e-06,3.342312,1.191075,550.40
77000,1.978315,2.017264,3.00000000e-06,2.999743,1.193504,571.62
78000,1.971540,2.003164,3.00000000e-06,3.102109,1.195932,592.51
79000,1.967454,2.004803,3.00000000e-06,3.035430,1.198347,613.79
80000,1.960090,1.992354,3.00000000e-06,2.967811,1.200697,634.93
81000,1.955073,1.991631,3.00000000e-06,3.276243,1.203034,655.82
82000,1.949639,1.980458,3.00000000e-06,3.105800,1.205407,677.14
83000,1.945832,1.978618,3.00000000e-06,3.273869,1.207703,698.41
84000,1.939129,1.981002,3.00000000e-06,3.277817,1.210003,719.42
85000,1.935699,1.971162,3.00000000e-06,3.084673,1.212311,740.51
86000,1.930577,1.965175,3.00000000e-06,3.277710,1.214657,762.09
87000,1.924846,1.965063,3.00000000e-06,3.310688,1.216926,783.39
88000,1.920675,1.959490,3.00000000e-06,3.434627,1.219197,804.29
89000,1.916052,1.945818,3.00000000e-06,2.882728,1.221490,825.59
90000,1.910358,1.942625,3.00000000e-06,2.989968,1.223729,846.81
91000,1.907946,1.950254,3.00000000e-06,2.974103,1.225974,867.73
92000,1.902556,1.942405,3.00000000e-06,3.279296,1.228207,888.76
93000,1.899344,1.930296,3.00000000e-06,2.974370,1.230427,909.98
94000,1.894337,1.924965,3.00000000e-06,3.479615,1.232588,931.20
95000,1.889719,1.924413,3.00000000e-06,3.076432,1.234823,952.02
96000,1.883726,1.926803,3.00000000e-06,3.056640,1.237014,973.29
97000,1.881744,1.920316,3.00000000e-06,3.222610,1.239181,994.45
98000,1.878649,1.911041,3.00000000e-06,4.160575,1.241441,1015.33
99000,1.875168,1.909972,3.00000000e-06,3.412384,1.243682,1036.66
100000,1.870315,1.914776,3.00000000e-06,3.105888,1.245905,1057.86
