step,train_loss,val_loss,lr,grad_norm,max_weight,elapsed_sec
1,4.614009,4.594756,2.50000000e-09,4.504601,1.000000,15.07
500,4.422740,4.125749,1.25000000e-06,2.889164,1.000323,310.20
1000,3.958785,3.803807,2.50000000e-06,2.029792,1.001272,575.27
1500,3.662788,3.545270,3.75000000e-06,1.805393,1.002833,837.42
2000,3.422136,3.313817,5.00000000e-06,1.569469,1.005020,1099.66
2500,3.186859,3.089796,6.25000000e-06,1.331083,1.007827,1360.46
3000,2.968894,2.898284,7.50000000e-06,1.124862,1.011256,1621.25
3500,2.798084,2.759547,8.75000000e-06,0.960376,1.015292,1887.14
4000,2.675758,2.668283,1.00000000e-05,0.710741,1.019889,2149.09
4500,2.591912,2.605686,9.97833127e-06,0.974761,1.024729,2429.05
5000,2.538476,2.565434,9.91353376e-06,0.869536,1.029507,2697.83
5500,2.502637,2.538776,9.80623151e-06,1.110313,1.034237,2959.78
6000,2.478923,2.521722,9.65745790e-06,1.072836,1.038842,3226.88
6500,2.461531,2.509703,9.46864569e-06,1.083349,1.043339,3495.31
7000,2.445642,2.494592,9.24161326e-06,1.170593,1.047677,3758.77
7500,2.434893,2.488755,8.97854704e-06,2.201864,1.051855,4020.89
8000,2.424779,2.481826,8.68198052e-06,1.290081,1.055882,4281.58
8500,2.416953,2.474830,8.35476978e-06,1.129532,1.059701,4536.90
9000,2.408758,2.462799,8.00006605e-06,1.369673,1.063276,4792.79
9500,2.403242,2.464173,7.62128532e-06,1.349238,1.066738,5047.55
10000,2.396767,2.451609,7.22207545e-06,1.461449,1.070022,5304.03
10500,2.390225,2.448610,6.80628105e-06,1.670135,1.073110,5558.86
11000,2.384505,2.446843,6.37790645e-06,1.463736,1.076041,5815.22
11500,2.379289,2.436673,5.94107713e-06,1.336902,1.078745,6072.45
12000,2.373643,2.431511,5.50000000e-06,1.444886,1.081220,6327.86
12500,2.368069,2.422322,5.05892287e-06,2.067799,1.083504,6584.53
13000,2.361474,2.417158,4.62209355e-06,1.424877,1.085620,6839.57
13500,2.354827,2.415470,4.19371895e-06,1.537455,1.087538,7096.49
14000,2.347775,2.405895,3.77792455e-06,1.769659,1.089285,7352.76
14500,2.343455,2.399645,3.37871468e-06,1.539722,1.090862,7610.17
15000,2.338654,2.393454,2.99993395e-06,2.392404,1.092257,7867.00
15500,2.333645,2.387188,2.64523022e-06,1.714201,1.093490,8122.62
16000,2.329259,2.380949,2.31801948e-06,1.653022,1.094583,8378.21
16500,2.323439,2.376297,2.02145296e-06,2.313529,1.095535,8634.38
17000,2.318554,2.371783,1.75838674e-06,1.942765,1.096369,8891.79
17500,2.316393,2.375734,1.53135431e-06,1.965089,1.097084,9148.15
18000,2.316181,2.371675,1.34254210e-06,2.098736,1.097710,9405.31
18500,2.311536,2.370059,1.19376849e-06,1.782737,1.098270,9662.31
19000,2.309312,2.365735,1.08646624e-06,1.893167,1.098774,9919.45
19500,2.306656,2.361078,1.02166873e-06,2.298209,1.099237,10176.73
20000,2.304862,2.361121,1.00000000e-06,1.827654,1.099678,10433.81
