step,train_loss,val_loss,lr,grad_norm,max_weight
1,4.58584924,4.58588539,1.5e-07,1.75430572,1.00000012
1000,3.03922599,3.07206348,0.00015,0.20989737,1.03583455
2000,3.03327848,3.06731604,0.0003,0.32468656,1.03843665
3000,2.94188891,2.99034049,0.0002999306392,0.40270033,1.03502572
4000,2.42087188,2.49680011,0.000299722628,0.32062036,1.03094685
5000,2.21034332,2.30051341,0.0002993761802,0.19454868,1.27129459
6000,2.08999217,2.19606949,0.0002988916519,0.20579067,1.35930860
7000,1.98321545,2.11564476,0.0002982695408,0.24264941,1.46441972
8000,1.92432868,2.04240531,0.0002975104862,0.27278247,1.57840860
9000,1.85839989,1.99418425,0.0002966152681,0.25753877,1.68849170
10000,1.81434347,1.93997969,0.0002955848065,0.21336523,1.77655792
11000,1.75988935,1.91492264,0.0002944201602,0.18468146,1.83957100
12000,1.73278181,1.87401727,0.0002931225258,0.24654095,1.89753008
13000,1.69152979,1.84259366,0.000291693237,0.21890065,1.95023954
14000,1.66941324,1.81468104,0.0002901337622,0.28373700,2.02359843
15000,1.63299378,1.79546501,0.0002884457041,0.30353257,2.07304239
16000,1.61368983,1.77094994,0.0002866307972,0.28857261,2.09996390
17000,1.59488427,1.75001533,0.0002846909064,0.27304620,2.10938239
18000,1.56938303,1.73213656,0.0002826280251,0.28114769,2.10834336
19000,1.56415877,1.72803555,0.000280444273,0.25002423,2.10357666
20000,1.55037963,1.71570405,0.0002781418942,0.29176050,2.17017365
21000,1.53152606,1.70210823,0.0002757232544,0.30354038,2.29849100
22000,1.51236643,1.68103602,0.000273190839,0.28072855,2.40301943
23000,1.50463892,1.67488499,0.0002705472501,0.34071580,2.50015020
24000,1.48766326,1.66957357,0.0002677952044,0.34959280,2.55204248
25000,1.48311468,1.66783350,0.0002649375296,0.30522984,2.58955622
26000,1.46964829,1.65180271,0.0002619771623,0.26021028,2.63674736
27000,1.47654660,1.63631932,0.0002589171443,0.28658834,2.80193734
28000,1.46621941,1.63881421,0.0002557606202,0.27310243,2.93618321
29000,1.44559625,1.63598262,0.0002525108334,0.35407770,3.02678823
30000,1.44020157,1.62928944,0.0002491711233,0.27710244,3.12161803
31000,1.43322216,1.61298555,0.0002457449216,0.27941099,3.24550176
32000,1.42912137,1.62958733,0.0002422357491,0.29447979,3.36924767
33000,1.42941765,1.61330341,0.0002386472117,0.29981524,3.49162245
34000,1.42345761,1.60850228,0.0002349829967,0.27557546,3.60815167
35000,1.41846111,1.60991407,0.0002312468695,0.32669452,3.72014713
36000,1.41428424,1.59398038,0.0002274426692,0.33233237,3.82901430
37000,1.39977762,1.59239858,0.0002235743048,0.27240735,3.89886165
38000,1.39797604,1.59452393,0.0002196457513,0.31928226,3.99349952
39000,1.40451714,1.57518912,0.0002156610457,0.25960144,4.10370350
40000,1.38913200,1.58383383,0.0002116242823,0.29201233,4.19446898
41000,1.38444984,1.57248016,0.0002075396094,0.26075554,4.28094578
42000,1.38068280,1.58210968,0.0002034112242,0.29803863,4.37037945
43000,1.37515066,1.58068289,0.0001992433688,0.28705621,4.42730141
44000,1.37585788,1.56911964,0.0001950403261,0.28444120,4.49617720
45000,1.37638826,1.57278063,0.0001908064149,0.26401171,4.54796696
46000,1.38791464,1.56139880,0.0001865459858,0.28750604,4.57486105
47000,1.36564248,1.56462847,0.0001822634168,0.30823043,4.59854984
48000,1.37340112,1.55144987,0.0001779631085,0.29067290,4.62484980
49000,1.36563085,1.55717087,0.0001736494797,0.28923008,4.65067196
50000,1.37046111,1.55135422,0.000169326963,0.28971541,4.69068289
51000,1.35706626,1.55120736,0.000165,0.25740319,4.73157454
52000,1.35259089,1.55537609,0.000160673037,0.31918788,4.75589275
53000,1.35115165,1.54125178,0.0001563505203,0.25550810,4.77706671
54000,1.35072322,1.55864720,0.0001520368915,0.30100730,4.80383301
55000,1.35210809,1.55399919,0.0001477365832,0.30503032,4.84028959
56000,1.34292494,1.54260952,0.0001434540142,0.35417846,4.86028242
57000,1.34594835,1.55853421,0.0001391935851,0.34183314,4.87666941
58000,1.33530436,1.53630795,0.0001349596739,0.24444722,4.94213152
59000,1.34290610,1.53957593,0.0001307566312,0.29755032,5.00829649
60000,1.34772762,1.54363600,0.0001265887758,0.25773332,5.06293201
61000,1.33736772,1.53673111,0.0001224603906,0.27241030,5.06508255
62000,1.33253999,1.54696630,0.0001183757177,0.29905039,5.06424856
63000,1.32967241,1.53069756,0.0001143389543,0.29199663,5.06560516
64000,1.32349253,1.53888233,0.0001103542487,0.31582823,5.07169962
65000,1.32883317,1.53277964,0.0001064256952,0.27690849,5.08267927
66000,1.33015886,1.53167266,0.0001025573308,0.27818856,5.09872580
67000,1.33549715,1.52971760,9.875313048e-05,0.29700723,5.12111759
68000,1.32809674,1.53174348,9.501700328e-05,0.26220489,5.15797567
69000,1.32882181,1.52667813,9.135278834e-05,0.30269718,5.19584894
70000,1.32432518,1.53182577,8.776425088e-05,0.29108003,5.23269415
71000,1.33080307,1.51709035,8.425507838e-05,0.27683800,5.26792717
72000,1.32561188,1.53348658,8.082887675e-05,0.31885737,5.29227161
73000,1.31768785,1.52977329,7.748916663e-05,0.30625847,5.30246925
74000,1.32093881,1.51049595,7.423937981e-05,0.33472481,5.31890488
75000,1.32749549,1.52976765,7.108285567e-05,0.28036994,5.33694601
76000,1.31963934,1.52483268,6.802283774e-05,0.29323962,5.35361385
77000,1.32250875,1.52114173,6.506247039e-05,0.36700657,5.37540293
78000,1.31970842,1.51941963,6.220479562e-05,0.30429810,5.40139341
79000,1.32559425,1.52330705,5.945274987e-05,0.28622255,5.42604923
80000,1.32557092,1.51900652,5.680916105e-05,0.26896316,5.45220709
81000,1.32039892,1.51856364,5.427674563e-05,0.31219113,5.48152304
82000,1.31983957,1.53701916,5.185810584e-05,0.28353119,5.50736380
83000,1.31308205,1.51519776,4.955572699e-05,0.31168014,5.53298664
84000,1.31305796,1.51389162,4.737197494e-05,0.26588824,5.55417156
85000,1.32156049,1.50815708,4.530909364e-05,0.27072436,5.57267046
86000,1.32009297,1.51366808,4.336920283e-05,0.31025332,5.58839798
87000,1.30568046,1.52860585,4.155429589e-05,0.27523661,5.60293674
88000,1.31022406,1.50818781,3.986623776e-05,0.28729001,5.61966515
89000,1.31016894,1.52464830,3.830676302e-05,0.30449110,5.63453674
90000,1.31186614,1.51980614,3.687747415e-05,0.27686036,5.64942741
91000,1.31668137,1.49918136,3.557983984e-05,0.30536067,5.66209078
92000,1.31537439,1.51898326,3.441519349e-05,0.25701499,5.67359972
93000,1.31447395,1.51845253,3.338473186e-05,0.28906935,5.68525743
