step,train_loss,val_loss,lr,grad_norm,max_weight,elapsed_sec
21000,2.300447,2.352907,1.00000000e-06,2.056400,1.100561,521.89
22000,2.296237,2.348757,1.00000000e-06,2.074571,1.101443,474.49
23000,2.295399,2.341563,1.00000000e-06,2.132224,1.102325,936.36
24000,2.290952,2.338829,1.00000000e-06,2.004673,1.103211,1388.81
25000,2.285659,2.334868,1.00000000e-06,2.036261,1.104097,1871.63
26000,2.280764,2.332270,1.00000000e-06,2.130228,1.104986,2352.03
27000,2.277289,2.329834,1.00000000e-06,2.749347,1.105875,2840.47
28000,2.273927,2.329110,1.00000000e-06,1.901775,1.106759,3344.49
29000,2.268346,2.318761,1.00000000e-06,1.923366,1.107650,3859.80
30000,2.264319,2.314269,1.00000000e-06,2.016610,1.108529,4369.23
31000,2.260402,2.310450,1.00000000e-06,2.332678,1.109407,4886.67
32000,2.256900,2.307743,1.00000000e-06,2.154192,1.110290,5922.68
33000,2.251236,2.307633,1.00000000e-06,2.507087,1.111172,6624.59
34000,2.247366,2.289069,1.00000000e-06,1.964014,1.112061,7263.36
35000,2.243101,2.295402,1.00000000e-06,2.155651,1.112942,7778.45
36000,2.238241,2.291207,1.00000000e-06,2.108000,1.113829,8396.03
37000,2.233152,2.280881,1.00000000e-06,2.244149,1.114717,8836.72
38000,2.231419,2.279594,1.00000000e-06,2.638289,1.115601,9506.56
39000,2.225998,2.272702,1.00000000e-06,2.202791,1.116486,10208.48
40000,2.220025,2.264419,1.00000000e-06,2.500851,1.117368,10872.50
41000,2.217991,2.279999,1.00000000e-06,2.308027,1.118247,11340.04
42000,2.212729,2.257972,1.00000000e-06,2.311345,1.119131,12022.61
43000,2.208500,2.264768,1.00000000e-06,2.945896,1.120007,12569.11
44000,2.204796,2.246533,1.00000000e-06,2.232350,1.120904,13110.41
45000,2.200000,2.249899,1.00000000e-06,2.351200,1.121801,30639.58
46000,2.195629,2.244462,1.00000000e-06,2.545428,1.122701,31082.00
47000,2.192037,2.233269,1.00000000e-06,2.431102,1.123599,31525.78
48000,2.190022,2.235272,1.00000000e-06,2.140346,1.124504,31981.69
49000,2.183535,2.234968,1.00000000e-06,2.365639,1.125401,32432.62
50000,2.182064,2.225775,1.00000000e-06,2.859467,1.126301,32871.29
