model,step,best_val_loss,mode,anchor,horizon,avg_gt_nll,avg_gt_top1,valid_word_ratio,malformed_word_ratio,avg_word_len,vocab_diversity,repeated_word_ratio
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_1,10,5.658382415771484,0.0,1.0,0.0,2.6666666666666665,0.6666666666666666,0.3333333333333333
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_1,25,4.768214931488037,0.16,1.0,0.0,2.7142857142857144,0.42857142857142855,0.5714285714285714
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_1,50,4.501708609461784,0.2,1.0,0.0,2.923076923076923,0.15384615384615385,0.8461538461538461
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_1,100,4.4310616454482075,0.15,1.0,0.0,2.8846153846153846,0.11538461538461539,0.8846153846153846
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_1,250,4.243867353081703,0.108,1.0,0.0,2.984126984126984,0.031746031746031744,0.9682539682539683
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_1,500,4.13045959097147,0.098,1.0,0.0,2.9761904761904763,0.023809523809523808,0.9761904761904762
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_2,10,3.650738924741745,0.2,1.0,0.0,2.3333333333333335,0.6666666666666666,0.3333333333333333
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_2,25,4.180766259431839,0.12,1.0,0.0,3.0,0.16666666666666666,0.8333333333333334
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_2,50,4.330447607636452,0.06,1.0,0.0,2.8461538461538463,0.15384615384615385,0.8461538461538461
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_2,100,4.312655383646488,0.05,1.0,0.0,3.0,0.04,0.96
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_2,250,4.303369727492332,0.084,1.0,0.0,2.9682539682539684,0.031746031746031744,0.9682539682539683
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_2,500,4.1802246405482295,0.092,1.0,0.0,3.0,0.008,0.992
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_3,10,4.45608606338501,0.0,1.0,0.0,2.3333333333333335,0.6666666666666666,0.3333333333333333
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_3,25,4.733442506790161,0.04,1.0,0.0,3.0,0.16666666666666666,0.8333333333333334
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_3,50,4.601717889308929,0.04,1.0,0.0,2.8461538461538463,0.15384615384615385,0.8461538461538461
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_3,100,4.575625048875809,0.03,1.0,0.0,3.0,0.04,0.96
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_3,250,4.443680639266968,0.044,1.0,0.0,2.9682539682539684,0.031746031746031744,0.9682539682539683
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_3,500,4.246635685682297,0.084,1.0,0.0,3.0,0.008,0.992
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_4,10,4.668042230606079,0.0,1.0,0.0,2.6666666666666665,0.6666666666666666,0.3333333333333333
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_4,25,4.7442258644104,0.0,1.0,0.0,2.7142857142857144,0.2857142857142857,0.7142857142857143
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_4,50,4.545645155906677,0.04,1.0,0.0,2.923076923076923,0.15384615384615385,0.8461538461538461
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_4,100,4.24750067949295,0.08,1.0,0.0,3.0,0.04,0.96
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_4,250,4.092193051099777,0.108,1.0,0.0,2.984126984126984,0.031746031746031744,0.9682539682539683
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_4,500,4.231037575483322,0.104,1.0,0.0,3.0,0.008,0.992
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_5,10,4.366032135486603,0.0,1.0,0.0,2.3333333333333335,0.6666666666666666,0.3333333333333333
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_5,25,4.663872542381287,0.0,1.0,0.0,2.7142857142857144,0.2857142857142857,0.7142857142857143
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_5,50,4.5971062594652174,0.04,1.0,0.0,2.8461538461538463,0.15384615384615385,0.8461538461538461
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_5,100,4.281610839664936,0.09,1.0,0.0,2.8846153846153846,0.11538461538461539,0.8846153846153846
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_5,250,4.333989139676094,0.104,1.0,0.0,2.9682539682539684,0.031746031746031744,0.9682539682539683
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_5,500,4.249798904716968,0.088,1.0,0.0,2.9761904761904763,0.023809523809523808,0.9761904761904762
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_6,10,4.168799930810929,0.2,1.0,0.0,2.6666666666666665,0.6666666666666666,0.3333333333333333
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_6,25,4.372946193218231,0.16,1.0,0.0,2.7142857142857144,0.42857142857142855,0.5714285714285714
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_6,50,4.210845266580582,0.12,1.0,0.0,2.923076923076923,0.15384615384615385,0.8461538461538461
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_6,100,4.1516578114032745,0.11,1.0,0.0,2.8846153846153846,0.11538461538461539,0.8846153846153846
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_6,250,4.134708673357964,0.112,1.0,0.0,2.984126984126984,0.031746031746031744,0.9682539682539683
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_6,500,4.096850045859814,0.11,1.0,0.0,2.9761904761904763,0.023809523809523808,0.9761904761904762
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_7,10,4.777940130233764,0.0,1.0,0.0,2.3333333333333335,0.6666666666666666,0.3333333333333333
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_7,25,4.385139696598053,0.12,1.0,0.0,3.0,0.16666666666666666,0.8333333333333334
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_7,50,4.708936511278153,0.06,1.0,0.0,2.8461538461538463,0.15384615384615385,0.8461538461538461
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_7,100,4.453691130280495,0.07,1.0,0.0,3.0,0.04,0.96
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_7,250,4.1392322688102725,0.108,1.0,0.0,2.9682539682539684,0.031746031746031744,0.9682539682539683
Glyph v2 20k,20000,2.3610776904970407,greedy,val_anchor_7,500,4.211439644813537,0.094,1.0,0.0,3.0,0.008,0.992
Glyph v2 20k,20000,2.3610776904970407,topk20_t0.7,val_anchor_1,10,4.904191386699677,0.2,0.6666666666666666,0.33333333333333337,2.3333333333333335,1.0,0.0
Glyph v2 20k,20000,2.3610776904970407,topk20_t0.7,val_anchor_1,25,4.229540858268738,0.28,0.75,0.25,2.25,1.0,0.0
Glyph v2 20k,20000,2.3610776904970407,topk20_t0.7,val_anchor_1,50,3.8641146743297576,0.24,0.6428571428571429,0.3571428571428571,2.642857142857143,1.0,0.0
Glyph v2 20k,20000,2.3610776904970407,topk20_t0.7,val_anchor_1,100,4.057134568691254,0.16,0.48,0.52,2.96,0.96,0.04
Glyph v2 20k,20000,2.3610776904970407,topk20_t0.7,val_anchor_1,250,3.8904191509485244,0.128,0.4107142857142857,0.5892857142857143,3.4285714285714284,0.9642857142857143,0.03571428571428571
Glyph v2 20k,20000,2.3610776904970407,topk20_t0.7,val_anchor_1,500,3.7628272232860325,0.122,0.43243243243243246,0.5675675675675675,3.4504504504504503,0.8738738738738738,0.12612612612612611
Glyph v2 20k,20000,2.3610776904970407,topk20_t0.7,val_anchor_2,10,3.2162132143974302,0.2,1.0,0.0,2.3333333333333335,1.0,0.0
